CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: WHITFIELD TOWN (20),,,,,,,,,
44 44 CAMBERWELL ALL AGE SCHOOL,20,54,,,,2,76,53.90%,141
45 45 CAMBERWELL ALL AGE SCHOOL,9,57,,,,0,66,50.77%,130
46 46 DEVON PEN ALL AGE SCHOOL,65,153,,,,0,218,56.48%,386
47 47 STANLEY SHAW'S PREMISES,3,22,,,,0,25,62.50%,40
48 48 BROADGATE COMMUNITY CENTRE,69,75,,,,0,144,71.64%,201
49 49 BROADGATE COMMUNITY CENTRE,111,92,,,,0,203,67.22%,302
ELECTORAL DIVISION TOTALS 23 PSs,"1,148","1,950",0,0,0,26,"3,124",58.38%,"5,351"
CONSTITUENCY: ST. MARY SOUTH EASTERN (20),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: BELFIELD (3),,,,,,,,,
50 50 CENTRAL GOSPEL CHAPEL,63,66,,,,2,131,61.50%,213
51 51 CLONMEL PRIMARY & JUNIOR HIGH,65,42,,,,1,108,54.82%,197
52 52 BROMLEY ALL AGE SCHOOL,85,41,,,,0,126,65.63%,192
53 53 BROMLEY ALL AGE SCHOOL,147,110,,,,0,257,63.61%,404
54 54 CLONMEL PRIMARY & JUNIOR HIGH,70,47,,,,1,118,58.42%,202
55 55 CLONMEL PRIMARY & JUNIOR HIGH,79,55,,,,1,135,63.08%,214
56 56 CENTRAL GOSPEL CHAPEL,138,111,,,,1,250,71.23%,351
57 57 CROMWELLAND BASIC SCHOOL,98,67,,,,1,166,61.03%,272
58 58 BETHEL UNITED CHURCH,116,58,,,,0,174,55.77%,312
59 59 OLIVIERE KINDERGARTEN SCHOOL,112,82,,,,3,197,57.43%,343
60 60 BELFIELD ALL AGE SCHOOL,101,76,,,,0,177,57.47%,308
61 61 BELFIELD LINE BASIC SCHOOL,38,54,,,,0,92,51.40%,179
62 62 BELFIELD LINE BASIC SCHOOL,29,49,,,,0,78,55.71%,140
63 63 BROMLEY ALL AGE SCHOOL,37,90,,,,0,127,65.80%,193
64 64 BELFIELD INFANT SCHOOL,89,96,,,,0,185,63.14%,293
65 65A BELFIELD HEALTH CENTRE,86,70,,,,2,158,65.02%,243
65 65B BELFIELD HEALTH CENTRE,81,81,,,,0,162,66.67%,243
66 66 BELFIELD HEALTH CENTRE,80,41,,,,2,123,66.13%,186
67 67 ROSE MORGAN'S PREMISES,30,18,,,,2,50,63.29%,79
68 68 ST. MARY RECREATIONAL CENTRE (GRAYS INN),36,24,,,,1,61,61.62%,99
69 69 ST. MARY RECREATIONAL CENTRE (GRAYS INN),70,32,,,,0,102,65.81%,155
70 70 ST. MARY RECREATIONAL CENTRE (GRAYS INN),47,57,,,,0,104,60.12%,173
71 71 ROSEMOUNT CHURCH OF GOD IN JAMAICA,64,33,,,,0,97,63.82%,152
72 72 CAMBERWELL ALL AGE SCHOOL,10,60,,,,0,70,61.40%,114
ELECTORAL DIVISION TOTALS 24 PSs,"1,771","1,460",0,0,0,17,"3,248",61.78%,"5,257"
CONSTITUENCY: ST. MARY SOUTH EASTERN (20),,,,,,
POLLING STATION LOCATION,,,,,,
ELECTORAL DIVISION: ANNOTTO BAY (4),,,,,,
73 73 PLEASANT HILL EARLY CHILDHOOD INSTITUTION,31,66,0,97,72.39%,134
74 74 LITTLE LAMB BASIC SCHOOL,91,115,3,209,60.76%,344
75 75 BAXTERS MOUNTAIN ALL AGE,25,63,0,88,67.18%,131
76 76 CECIL FOSTER'S PREMISES,156,72,2,230,67.06%,343
77 77 LONG ROAD ALL AGE SCHOOL,64,59,3,126,53.85%,234
78 78 LONG ROAD ALL AGE SCHOOL,51,45,0,96,54.55%,176
79 79 CECIL FOSTER'S PREMISES,41,24,0,65,59.63%,109
80 80 CHURCH OF GOD IN JAMAICA JUNO PEN,72,74,1,147,60.25%,244
81 81 CHURCH OF GOD IN JAMAICA JUNO PEN,93,92,0,185,64.46%,287
82 82 CHURCH OF GOD IN JAMAICA MANSE,93,92,0,185,59.29%,312
83 83 CHURCH OF GOD IN JAMAICA MANSE,75,31,2,108,67.50%,160
84 84 DOVER BASIC SCHOOL,103,133,2,238,62.80%,379
85 85 DOVER BASIC SCHOOL,60,127,0,187,58.07%,322
86 86 EPSOM ALL AGE SCHOOL,66,97,1,164,63.57%,258
87 87 EPSOM ALL AGE SCHOOL,49,69,0,118,61.14%,193
88 88 ANNOTTO BAY HIGH SCHOOL,131,137,2,270,63.23%,427
89 89 ANNOTTO BAY HIGH SCHOOL,100,100,1,201,59.12%,340
90 90 ANNOTTO BAY HIGH SCHOOL,78,88,0,166,59.71%,278
91 91 ENFIELD PRIMARY & JUNIOR HIGH SCHOOL,146,77,2,225,71.20%,316
92 92 FORT GEORGE COMMUNITY CENTRE,128,143,1,272,63.26%,430
93 93 ANNOTTO BAY HEALTH CENTRE,97,109,4,210,66.25%,317
94 94 ANNOTTO BAY HEALTH CENTRE,81,78,0,159,61.87%,257
95 95A ANNOTTO BAY ALL AGE SCHOOL,69,86,1,156,69.64%,224
95 95B ANNOTTO BAY ALL AGE SCHOOL,63,87,0,150,66.67%,225
96 96 ANNOTTO BAY ALL AGE SCHOOL,44,82,0,126,69.61%,181
97 97A ANNOTTO BAY ALL AGE SCHOOL,53,99,1,153,66.52%,230
97 97B ANNOTTO BAY ALL AGE SCHOOL,50,110,1,161,70.00%,230
98 98 ANNOTTO BAY ALL AGE SCHOOL,79,131,1,211,63.55%,332
99 99 ANNOTTO BAY ALL AGE SCHOOL,51,57,1,109,62.64%,174
100 100 ST. THERESA CATHOLIC CHURCH,99,68,3,170,63.20%,269
CONSTITUENCY: ST. MARY SOUTH EASTERN (20),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: ANNOTTO BAY (4),,,,,,,,,
104 104 ANNOTTO BAY ANGLICAN CHURCH,115,116,,,,3,234,61.74%,379
ELECTORAL DIVISION TOTALS 35 PSs,"2,817","2,925",0,0,0,36,"5,778",62.67%,"9,219"
CONSTITUENCY TOTALS 108 PSs,"7,246","8,169",0,0,0,94,"15,509",61.42%,"25,251"
