POLLING STATION LOCATION,PNP DAWKINS EARL A.,JLP MCKENZIE DESMOND ANTHONY A.,MGPPP SEATON ARLINGTON ANTHONY,,,"BALLOTS
REJECTED","TOTAL VOTES 
(including
rejected ballots",PERCENT (%) VOTES,"ELECTORS
ON OFFICIAL
VOTERS LIST",CONSTITUENCY,ELECTORAL DIVISION
111 111 TREE OF LIFE CHURCH OF GOD,0,2,0,4,3,0,9,3.7,245,,
112 112A TREE OF LIFE CHURCH OF GOD,0,2,0,22,14,0,38,16.8,226,,
112 112B TREE OF LIFE CHURCH OF GOD,0,1,1,19,5,0,26,11.5,226,,
113 113 HORIZON PARK ALL AGE SCHOOL,0,2,1,27,6,0,36,16.5,218,,
114 114 HORIZON PARK ALL AGE SCHOOL,1,1,0,24,11,0,37,11.5,323,,
115 115 CROMARTY BASIC SCHOOL,1,4,0,11,18,0,34,9.9,343,,
116 116 HARTLANDS PRIMARY,0,1,0,3,3,0,7,7.3,96,,
117 117 VALLEY CHRISTIAN CHURCH,0,1,0,54,5,1,61,20.9,292,,
118 118 VALLEY CHRISTIAN CHURCH,0,0,0,60,2,1,63,22.8,276,,
119 119 CROMARTY BASIC SCHOOL,0,2,0,82,19,1,104,26.9,387,,
120 120 HORIZON PARK ALL AGE SCHOOL,0,2,1,26,11,0,40,20.7,193,,
121 121 SYDENHAM COMMUNITY CENTRE,0,2,1,37,44,1,85,22.5,378,,
122 122 SYDENHAM COMMUNITY CENTRE,1,0,1,27,23,0,52,20.6,252,,
123 123 SYDENHAM COMMUNITY CENTRE,1,0,0,9,14,0,24,14.5,165,,
124 124 SYDENHAM COMMUNITY CENTRE,1,2,0,27,8,1,39,17.6,221,,
125 125 HORIZON PARK ALL AGE SCHOOL,0,0,0,8,1,0,9,4.6,194,,
126 126A VILLA NOVA COMMUNITY CENTRE,1,0,1,16,3,0,21,9.8,214,,
126 126B VILLA NOVA COMMUNITY CENTRE,1,0,0,45,5,0,51,23.8,214,,
127 127 VILLA NOVA COMMUNITY CENTRE,1,1,0,15,0,0,17,10.6,160,,
128 128A H. S. WALTERS CLINIC,1,1,0,51,8,2,63,28.8,219,,
128 128B H. S. WALTERS CLINIC,0,0,0,38,6,1,45,20.5,220,,
